Country;City;Km (section);Km (cuml.);Connection
I;Vercelli;59;1401; 
I;Alessandria;55;1457;E70, E74
I;Genova;90;1547;E80, E62
Country;City;Km (section);Km (cuml.);Connection
PL;Åwiecie;0;0;E75
PL;PoznaÅ;179;179;E30
PL;WrocÅaw;183;362;E40, E67
Country;City;Km (section);Km (cuml.);Connection
D;Hamburg;0;0;E45, E22
D;Berlin;283;283;E55, E30, E51, E28, E36, E251
Country;City;Km (section);Km (cuml.);Connection
LT;Klaipéda;0;0;E85, E272
LT;Kaunas;213;213;E85, E67
LT;Vilnius;103;317;E85, E272
BY;Minsk;184;500;E30
BY;Gomel';318;818;E95
Country;City;Km (section);Km (cuml.);Connection
LT;Klaipéda;0;0;E85, E271
LT;Palanga;28;28; 
LT;Siauliai;147;175; 
LT;PanevÄÅŸys;79;254;E67
LT;Ukmergé;64;318; 
LT;Vilnius;73;391;E85, E271
Country;City;Km (section);Km (cuml.);Connection
F;Belfort;0;0;E60
CH;Bern;133;133;E25
CH;Martigny;129;262;E62
CH;Grand-Saint-Bernard;39;301; 
I;Aosta;27;328;E25
Country;City;Km (section);Km (cuml.);Connection
D;Berlin;0;0;E55, E30, E51, E26, E36, E251
PL;Szczecin;153;153;E65
PL;Goleniów;38;191;E65
PL;Koszalin;117;309; 
PL;GdaÅsk;205;513;E75, E77
Country;City;Km (section);Km (cuml.);Connection
D;Köln;0;0;E35, E40, E31, E37
L;Luxembourg;207;207;E25, E44, E421
D;Saarbrücken;97;304;E50, E422
F;Sarreguemines;19;323; 
Country;City;Km (section);Km (cuml.);Connection
IRL;Cork;0;0;E201
IRL;Waterford;135;135; 
IRL;Wexford;61;196;E01
IRL;Rosslare;19;215;E01
GB;Fishguard;113;328; 
GB;Swansea;119;447; 
GB;Cardiff;65;512; 
GB;Newport;23;536; 
GB;Bristol;49;585; 
GB;London;192;777;E15, E13
GB;Colchester;106;883;E32
GB;Ipswich;32;915;E24
GB;Felixstowe;22;937; 
NL;Hoek van Holland;207;1144;E25
NL;Den Haag;27;1171;E19
NL;Gouda;32;1203;E25
NL;Utrecht;35;1238;E25, E35, E311
NL;Amersfoort;25;1262;E231, E232
NL;Oldenzaal;116;1378; 
D;Osnabrück;83;1461;E37
D;Bad Oeynhausen;60;1521;E34
D;Hannover;80;1602;E45
D;Braunschweig;67;1669; 
D;Magdeburg;101;1769;E49
D;Berlin;160;1929;E55, E51, E26, E28, E36, E251
PL;Åwiebodzin;187;2116;E65
PL;PoznaÅ;111;2227;E261
PL;Åowicz;229;2455;Â 
PL;Warszawa;81;2536;E67, E77, E372
BY;BrÄst;197;2733;Â 
BY;Minsk;348;3081;E271
RUS;Smolensk;353;3434; 
RUS;Moskva;401;3835;E105, E115
RUS;Rjazan;192;4027; 
RUS;Penza;453;4480; 
RUS;Samara;432;4912; 
Country;City;Km (section);Km (cuml.);Connection
NL;Breda;0;0;E19, E312
NL;Gorinchem;44;44;E31
NL;Utrecht;40;84;E25, E35, E30
Country;City;Km (section);Km (cuml.);Connection
NL;Vlissingen;0;0; 
NL;Breda;99;99;E19, E311
NL;Eindhoven;68;167;E25, E34
Country;City;Km (section);Km (cuml.);Connection
B;Antwerpen;0;0;E17, E19, E34
B;Liège;120;120;E25, E40, E42, E46
Country;City;Km (section);Km (cuml.);Connection
B;Leuven;0;0; 
B;Hasselt;59;59; 
NL;Heerlen;57;115; 
D;Aachen;20;136;E40, E421
Country;City;Km (section);Km (cuml.);Connection
NL;Rotterdam;0;0;E25, E19
NL;Gorinchem;43;43;E311
NL;Nijmegen;77;120; 
D;Goch;48;168; 
D;Krefeld;63;231; 
D;Köln;60;291;E35, E40, E29, E37
D;Koblenz;99;390;E44
D;Bingen;66;456;E42
D;Ludwigshafen;82;538; 
Country;City;Km (section);Km (cuml.);Connection
GB;Colchester;0;0;E30
GB;Harwich;31;31; 
Country;City;Km (section);Km (cuml.);Connection
D;Dortmund;0;0;E37, E41, E34
D;Kassel;185;185;E45
Country;City;Km (section);Km (cuml.);Connection
I;Parma;0;0;E35
I;La Spezia;124;124;E80
Country;City;Km (section);Km (cuml.);Connection
B;Zeebrugge;0;0;E403, E404
B;Antwerpen;101;101;E17, E19, E313
NL;Eindhoven;86;187;E25, E312
NL;Venlo;57;244; 
D;Oberhausen;54;298;E35
D;Dortmund;50;348;E37, E41, E331
D;Bad Oeynhausen;141;489;E30
Country;City;Km (section);Km (cuml.);Connection
NL;Amsterdam;0;0;E19, E22, E231
NL;Utrecht;46;46;E25, E30, E311
NL;Arnhem;70;115; 
D;Emmerich;34;149; 
D;Oberhausen;72;221;E34
D;Köln;73;294;E40, E29, E31, E37
D;Frankfurt am Main;195;489;E42, E451
D;Heidelberg;88;578; 
D;Karlsruhe;54;632;E52
D;Offenburg;77;709;E531
CH;Basel;126;835;E25, E60, E54
CH;Olten;47;881;E25
CH;Luzern;53;934; 
CH;Altdorf;43;978;E41
CH;San Gottardo;50;1028; 
CH;Bellinzona;61;1088;E43
CH;Lugano;27;1116; 
CH;Chiasso;25;1140; 
I;Como;6;1147; 
I;Milano;46;1193;E62, E64
I;Piacenza;66;1259; 
I;Parma;63;1321;E33
I;Modena;60;1381;E45
I;Firenze;138;1519;E76
I;Arezzo;79;1598;E78
I;Roma;219;1817;E80, E821
Country;City;Km (section);Km (cuml.);Connection
D;Berlin;0;0;E55, E30, E51, E26, E28, E251
D;Lübbenau;95;95;E55
D;Cottbus;36;131; 
PL;Legnica;152;283;E40
Country;City;Km (section);Km (cuml.);Connection
PL;Radom;0;0;E77
PL;Rzeszów;194;194; 
PL;Barwinek;89;283; 
SK;VyÅ¡nÃœ KomÃ¡rnik;4;286;Â 
SK;Svidnik;18;304; 
SK;PreÅ¡ov;54;358;E50
Country;City;Km (section);Km (cuml.);Connection
PL;Warszawa;0;0;E30, E67, E77
PL;Lublin;164;164;E373
UA;L'vov;210;374;E40, E471
Country;City;Km (section);Km (cuml.);Connection
PL;Lublin;0;0;E372
UA;Kovel;164;164; 
UA;Rovno;147;311;E40
Country;City;Km (section);Km (cuml.);Connection
D;Bremen;0;0;E22, E233, E234
D;Osnabrück;121;121;E30
D;Dortmund;123;244;E41, E34, E331
D;Köln;92;336;E35, E40, E29, E31
Country;City;Km (section);Km (cuml.);Connection
UA;Kiev;0;0;E95, E40
RUS;Orel;517;517;E105
Country;City;Km (section);Km (cuml.);Connection
N;Trondheim;0;0;E06, E14
N;Ålesund;313;313;E136
N;Bergen;389;702;E16
N;Stavanger;188;890; 
N;Kristiansand;240;1130;E18
